Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
V10_S10_L002_I2_001	V10_S10_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	188110627.0	0.0	10.0	30.0	1.7542868537671717e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V11_S13_L002_I1_001	V11_S13_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99472357.0	0.0	10.0	59.0	3.5185654643731825e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V11_S13_L002_I2_001	V11_S13_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	99472357.0	0.0	10.0	50.0	3.317504580694715e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V12_S16_L003_I1_001	V12_S16_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215668420.0	0.0	10.0	39.0	1.7155965625379923e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V12_S16_L003_I2_001	V12_S16_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	215668420.0	0.0	10.0	70.0	1.5301266638852363e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V12_S16_L004_I1_001	V12_S16_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217912981.0	0.0	10.0	39.0	1.7897052218288912e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V12_S16_L004_I2_001	V12_S16_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217912981.0	0.0	10.0	69.0	1.5143659569321388e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V13_S22_L003_I1_001	V13_S22_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217556071.0	0.0	10.0	59.0	1.7007109859048706e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V13_S22_L003_I2_001	V13_S22_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217556071.0	0.0	10.0	50.0	1.5168503387800196e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V13_S22_L004_I1_001	V13_S22_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	219630312.0	0.0	10.0	59.0	1.7301801219496517e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V13_S22_L004_I2_001	V13_S22_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	219630312.0	0.0	10.0	50.0	1.5025248427457499e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V14_S23_L003_I1_001	V14_S23_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	465316478.0	0.0	10.0	69.0	7.951577420819386e-06	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V14_S23_L003_I2_001	V14_S23_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	465316478.0	0.0	10.0	59.0	7.091947429379452e-06	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V14_S23_L004_I1_001	V14_S23_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	469412964.0	0.0	10.0	69.0	8.308249450051406e-06	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V14_S23_L004_I2_001	V14_S23_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	469412964.0	0.0	10.0	59.0	7.030057226966573e-06	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V15_S21_L003_I1_001	V15_S21_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299273232.0	0.0	10.0	49.0	1.2363284130937577e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V15_S21_L003_I2_001	V15_S21_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299273232.0	0.0	10.0	49.0	1.102671287353892e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V15_S21_L004_I1_001	V15_S21_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	302073985.0	0.0	10.0	49.0	1.2910744366152548e-05	10.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
V15_S21_L004_I2_001	V15_S21_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	302073985.0	0.0	10.0	49.0	1.0924476002129081e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V16_S17_L003_I1_001	V16_S17_L003_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	312609397.0	0.0	10.0	40.0	1.1835856616939765e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V16_S17_L003_I2_001	V16_S17_L003_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	312609397.0	0.0	10.0	39.0	1.0556304550243575e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V16_S17_L004_I1_001	V16_S17_L004_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	315963564.0	0.0	10.0	40.0	1.2343195369197696e-05	10.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	warn
V16_S17_L004_I2_001	V16_S17_L004_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	315963564.0	0.0	10.0	39.0	1.0444242235474975e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V5_S4_L002_I1_001	V5_S4_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81011649.0	0.0	10.0	59.0	4.320366321638509e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V5_S4_L002_I2_001	V5_S4_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81011649.0	0.0	10.0	30.0	4.073488246116309e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V6_S14_L002_I1_001	V6_S14_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	269095650.0	0.0	10.0	29.0	1.3006527604589668e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V6_S14_L002_I2_001	V6_S14_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	269095650.0	0.0	10.0	40.0	1.2263297455755976e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V7_S2_L002_I1_001	V7_S2_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76211099.0	0.0	10.0	39.0	4.592506926058106e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V7_S2_L002_I2_001	V7_S2_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76211099.0	0.0	10.0	60.0	4.1988634752531256e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V8_S6_L002_I1_001	V8_S6_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121696753.0	0.0	10.0	29.0	2.8760011370229406e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V8_S6_L002_I2_001	V8_S6_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121696753.0	0.0	10.0	40.0	2.711658214907344e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V9_S8_L002_I1_001	V9_S8_L002_I1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	275148173.0	0.0	10.0	59.0	1.272041882684062e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
V9_S8_L002_I2_001	V9_S8_L002_I2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	275148173.0	0.0	10.0	30.0	1.1993537751021155e-05	10.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	warn
