Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
885788_TY91_S10_L003_R1_001	0.17030109042335084	36.0	151.0	27.27272727272727	425994222.0
885788_TY91_S10_L003_R2_001	55.438463607753384	44.0	151.0	18.181818181818183	425994222.0
885788_TY92_S11_L003_R1_001	0.18438468311219935	36.0	151.0	27.27272727272727	121453075.0
885788_TY92_S11_L003_R2_001	43.48581204162924	44.0	151.0	9.090909090909092	121453075.0
885788_TY93_S12_L003_R1_001	0.20978470258576465	36.0	151.0	27.27272727272727	93832226.0
885788_TY93_S12_L003_R2_001	33.48256426240128	43.0	151.0	9.090909090909092	93832226.0
885788_TY94_S13_L003_R1_001	0.18718968718133056	37.0	151.0	27.27272727272727	62565264.0
885788_TY94_S13_L003_R2_001	31.519617406833163	44.0	151.0	9.090909090909092	62565264.0
885788_TY95_S14_L003_R1_001	0.19346349954311393	37.0	151.0	27.27272727272727	124389052.0
885788_TY95_S14_L003_R2_001	43.677979044434025	44.0	151.0	9.090909090909092	124389052.0
885788_TY96_S15_L003_R1_001	0.21240657494614368	37.0	151.0	27.27272727272727	219597501.0
885788_TY96_S15_L003_R2_001	47.34356125224911	44.0	151.0	9.090909090909092	219597501.0
886986_TY81_S1_L004_R1_001	0.0348377753087874	35.0	151.0	27.27272727272727	262408861.0
886986_TY81_S1_L004_R2_001	36.41072301917049	43.0	151.0	9.090909090909092	262408861.0
886986_TY82_S2_L004_R1_001	0.06800232886435253	35.0	151.0	27.27272727272727	157518615.0
886986_TY82_S2_L004_R2_001	36.72975744730924	43.0	151.0	9.090909090909092	157518615.0
886986_TY83_S3_L004_R1_001	0.04957587713434464	37.0	151.0	27.27272727272727	216089137.0
886986_TY83_S3_L004_R2_001	47.71939082339828	44.0	151.0	9.090909090909092	216089137.0
886986_TY84_S4_L004_R1_001	0.04891356281643766	36.0	151.0	27.27272727272727	288702640.0
886986_TY84_S4_L004_R2_001	45.46461769392166	44.0	151.0	9.090909090909092	288702640.0
886986_TY85_S5_L004_R1_001	0.021653008700084797	35.0	151.0	27.27272727272727	250758659.0
886986_TY85_S5_L004_R2_001	33.41121297303809	42.0	151.0	9.090909090909092	250758659.0
886986_TY86_S6_L004_R1_001	0.11787832649694963	37.0	151.0	27.27272727272727	222608456.0
886986_TY86_S6_L004_R2_001	51.523567825903186	45.0	151.0	18.181818181818183	222608456.0
886986_TY88_S7_L004_R1_001	0.07814078137741376	39.0	151.0	27.27272727272727	14189372.0
886986_TY88_S7_L004_R2_001	37.05213253891889	46.0	151.0	18.181818181818183	14189372.0
886986_TY89_S8_L004_R1_001	0.05093293844112168	35.0	151.0	27.27272727272727	149501039.0
886986_TY89_S8_L004_R2_001	35.65798827898277	43.0	151.0	9.090909090909092	149501039.0
