gene,log2FoldChange,pvalue_adjust
ANO2,-0.2626422033562239,0.8888374809961573
C12orf4,-0.4274691072719958,0.4264030623028207
SCML1,-0.2739668218945338,0.8148474738114553
WWC3,0.08164725981554424,0.942211142983048
ARHGAP6,0.05230783513064141,0.9492259720724602
MAP4,0.023348939260221604,0.9772764127789797
GOPC,-0.15986716703421555,0.8549704272952662
USP28,0.061455624486964996,0.9742924593424745
HDAC9,0.47194572255053124,0.67840857886708394
CC2D2A,0.020439536712417727,0.9942366274166835
RRM2B,0.24265120758040512,0.8656841075975009
ZNF800,-0.10837368433418637,0.9009785877468752
SNX29,-0.024564696280204253,0.9749143629115189
LMO3,-0.05311144994802331,0.9757065804629317
RSF1,-0.0570774925888508,0.8985798035320897
VPS13D,0.08489862635807895,0.9312922721202934
CELF2,0.08722706655999751,0.9289257743717559
FAM120A,0.024930579832640885,0.9749143629115189
R3HDM1,-0.023700683928845435,0.9756658805677597
KITLG,-0.6141702924762207,0.47143503870732284
ERCC8,-0.318410074875565,0.6174380147888587
PER3,-0.22480238073880518,0.8656841075975009
LTBP1,0.16393277728870756,0.8939237689002503
ARID1B,0.04474112758529362,0.9086770569142621
NEDD4L,0.2017707581407187,0.714786316137133
HEXB,0.12994893230757265,0.8888374809961573
NEXMIF,-0.2277198177886989,0.8939237689002503
JKAMP,-0.21031363461179742,0.8939237689002503
DKK3,0.1030787035429964,0.9423664205901574
LIMA1,0.013944697392691977,0.9922536771894328
LETMD1,-0.3076290113179256,0.5993186955189564
LAMC3,0.3064161718858496,0.5421212377937341
MAPK9,0.2461042100697493,0.7536755428365394
BCAR1,-0.055582550602073164,0.9749143629115189
HERPUD1,-0.14026835368457233,0.917402162005809
PIK3CB,-0.13560580140346493,0.8568505736908356
CYBA,0.23422381842188514,0.8634093559053503
HEBP2,0.08998285419612159,0.9500469344357778
MPHOSPH9,-0.2260985198077918,0.5830813388670858
PLEKHA5,0.20028428464889664,0.3998909490251297
FNIP2,-0.2503114857827153,0.4865333389287494
TTC17,-0.11564285624900607,0.713262519154999
FOXN3,0.05784754730872205,0.9566171190512868
MCF2L2,-0.16932363230477288,0.9086523685952751
AP5M1,-0.07531224462931294,0.9446578071334112
ANAPC4,-0.21177564732422968,0.7809741823017742
THRAP3,0.11595641961690718,0.7821213221479368
ARID4B,-0.015546769168986981,0.9785122210830003
SDCCAG8,-0.05065769657233229,0.8967859191668831
KIF1B,-0.08652323492454894,0.8656841075975009
FOXC1,-0.017293170433847177,0.9951162254537596
TBC1D22A,0.1880780218981249,0.5534015138657513
SYNE2,-0.16810582183843772,0.857133310517716
ATP9A,-0.06729475789115248,0.9749143629115189
FAM168A,-0.08913108852979477,0.8888374809961573
GALC,-0.05980138004710831,0.9715753274824269
NOP58,-0.14218849592562247,0.8656841075975009
SZRD1,-0.042919794927505465,0.9742924593424745
CUL1,0.029955312882362913,0.9735740623905629
TAB2,0.06927350655613931,0.9353491493159706
GINM1,-0.3380325042145859,0.6596238653857074
EIF2AK2,0.0032921449830834466,0.9981751533679811
USP36,-0.22858514456024842,0.7013769105718148
KMT2C,-0.04227697921580877,0.9191513956481238
PUM2,-0.10230893769393196,0.6430886328396335
ITIH4,-0.529745616419041,0.6758778429824331
HPF1,-0.2704171192534776,0.7855336142372665
ZFR,-0.018238904601196104,0.9749143629115189
PHF21B,-0.6295255107398887,0.4381064476105019
RC3H2,-0.06628960170772098,0.9312922721202934
TRAF3IP2,0.3721751504407368,0.7356574556440989
DCBLD2,0.087898362358542,0.9101458384429059
SOAT1,0.32211524851495316,0.49481365672067634
GDI2,0.04038089617142079,0.974709497344492
PRDM1,-0.30143546596205395,0.8626106111502363
ATG5,-0.05871089121596403,0.9500469344357778
USP13,-0.03652008188374975,0.9727680166021115
ATP11B,0.08762088503191756,0.8634093559053503
CDK14,0.12018157262696301,0.8152758525112708
SEC61A1,0.08879666931933308,0.9492259720724602
PPP1R12A,-0.2020410975511781,0.47143503870732284
CROCC,0.45863478597119195,0.4335891531692631
ATP2B4,-0.026789835193594673,0.9807854198469727
NDC1,-0.3139395599784784,0.7356574556440989
DGKG,-0.3850474444337513,0.857133310517716
FLYWCH1,0.04246829039173491,0.9757065804629317
UNKL,7.092436048795024e-4,0.9994503307555312
PARP12,-0.06983783817698824,0.9591832111623866
TARBP1,-0.43155426005672104,0.7876845431603708
MXD1,0.017955137540366914,0.9924726544741155
CDK17,0.279112247627415,0.37282038483837643
SLC2A3,0.22640112927048767,0.942211142983048
YBX3,0.49208552526913724,0.8115040892016147
WNK1,0.15227104960816748,0.6988098685291347
CCAR1,-0.05391804514573633,0.9474910404267196
OGFR,0.5296447402194879,0.15701876507281376
SNRNP40,-0.260869988623587,0.671621954196695
QSER1,0.09440630431494909,0.8910865523453105
MPC1,-0.19934686173930236,0.8634093559053503
HDAC7,0.2763845869027134,0.7811653767406247
LZTS1,-0.03802293088591357,0.9750865089958053
NCKAP1,-0.044383598119240024,0.8939237689002503
GUCY1B1,0.12815242138785485,0.8568505736908356
SFSWAP,0.016101006913318883,0.9785122210830003
MON2,-0.04475056050345908,0.9383533356740107
GPBP1,-0.02869402413696216,0.9714790844848578
CS,0.0650914805089219,0.9557768548451517
ELMO2,0.011084528071120692,0.9951162254537596
WAPL,-0.019175659527413295,0.9832013677426963
VMP1,-0.03280692372510033,0.9785122210830003
APPBP2,-0.00415405746284822,0.9981751533679811
EIF4B,0.10454963252867536,0.9223083712753831
SLC6A16,-0.05450345264978799,0.9742924593424745
RPL18,0.3332411381613001,0.8621280804840087
HAGH,-0.04194422926451131,0.9749143629115189
RNF4,-0.08236534220055419,0.9492936885610805
LIMCH1,0.2871855573002744,0.8634093559053503
TM7SF3,-0.24831318250190987,0.8282252427879652
TAF2,-0.18946359518839856,0.6377414021202891
HIPK2,-0.01967448268295866,0.9943595434670419
TNPO3,0.14380804768874159,0.8322911398959202
SUGP2,0.18240224072234534,0.6758778429824331
SLC12A2,-0.36757136336557944,0.5421212377937341
SNX24,0.1108196639907573,0.8888374809961573
BTBD1,-0.03021717091241454,0.9779849451040771
FAR2,-0.05091544664806327,0.9781212050653506
SBNO2,0.12737295611825744,0.9474910404267196
PMS1,-0.26921459353701355,0.6207176605500316
CALCRL,0.13193840120339725,0.942211142983048
TAF11,-0.2459295445872297,0.8282252427879652
ANKS1A,0.23438122730346547,0.5322045030733826
AP3D1,-0.27077885548324654,0.7593148574243014
ZNF76,-0.20812017272522923,0.8621280804840087
BLTP3A,-0.0719466354797408,0.9633282955314832
GNAI3,0.1433569110097584,0.8485874657951008
IPO5,-0.10514240996694857,0.9223083712753831
PKN2,-0.0042862007888068146,0.9957255293832147
TRAM2,0.35798805332736766,0.5714910293703632
NTN1,-0.0022177346959911404,0.9994503307555312
ANKRD44,0.0801571674060355,0.9086770569142621
TBC1D22B,0.014355044751171013,0.9936132399792457
SPEN,-0.24299535745333126,0.3998909490251297
MYLK,-0.2150886063747669,0.8718292970894129
ZC3H15,-0.15628731637649956,0.8718292970894129
MAP2K4,0.00991997074896311,0.9929413777472771
SLK,-0.1637264878245865,0.8115040892016147
CYB5R4,0.1796108678715648,0.799849762076781
SEC61A2,-0.18239520120491629,0.8661747685809547
TLE2,-0.13738774120705527,0.9559695381948624
FAM107B,-0.16107761502300916,0.8888374809961573
TBC1D1,0.28811014415151964,0.381348183106706
CDK13,0.05974257924336213,0.8888374809961573
YBX1,0.04633900053737401,0.9749143629115189
PDE4A,-0.025980899344610276,0.9876035831200788
PPP2R5A,-0.36287141193660266,0.16877239692753382
ELAVL1,-0.0648417180760954,0.9557768548451517
DIP2B,0.04244380044988943,0.9701220440718163
KDM4A,-0.32106919741653395,0.6240029248572182
NFYC,-0.11700122359954665,0.8282252427879652
MPPED2,-0.13151803212708224,0.9096608259631076
ZBTB11,-0.05444994199815091,0.9606248289697076
ATXN3,-0.02104993631256971,0.9772764127789797
GOLGA5,-0.1078653193109502,0.9086523685952751
LRRC40,-0.1748175065116062,0.8282252427879652
TRMT11,0.011908079539193329,0.9943575278322451
THUMPD1,-0.0323166486784212,0.9772764127789797
ATG2B,-0.1868093467797599,0.7013769105718148
ARFGEF1,0.008960931734992447,0.9851144474110755
ZFAT,0.567318276881829,0.2476901455664037
MYO9A,-0.021709696226894292,0.9747553845798992
